PCA1,PCA2,PCA3,Text,Articles About,Predicted Topic
0.005045008912574737,-0.26990901252997,-0.21853419738517704,C4-4,disease,disease
0.004749478310275162,-0.08864216635267243,0.09308870754842682,C7-3,finance,finance
0.7261343603915413,0.04277812566921327,-0.010485363280111655,C1-3,aeronautics organization,aeronautics organization
0.1451473381656123,-0.028063537351327852,0.0026888642343843106,C1-5,aeronautics organization,aeronautics organization
0.18256089594045719,-0.050917564148047566,0.023640519405523443,C1-2,aeronautics organization,aeronautics organization
0.005501583275891907,-0.06498116980626649,-0.03785460943406221,C4-7,disease,disease
0.060149552904191834,-0.07573538429578526,0.05913856708242276,C1-7,aeronautics organization,aeronautics organization
0.0054234880848209824,-0.08876785518232458,0.09237142894920446,C7-2,finance,finance
0.006759355544535599,-0.16779456058722667,-0.11751092674296963,C4-3,disease,disease
0.004930498270495039,-0.24336020500325692,-0.196086755642838,C4-1,disease,disease
0.003720030128557879,-0.10586743629704298,0.1283777760041453,C7-6,finance,finance
0.006018940162636959,-0.08963356934518768,0.09125589914820174,C7-8,finance,finance
0.006012554245867308,-0.0765507021467255,0.06759619434797917,C7-4,finance,finance
0.006066497724343455,-0.2001937966196996,-0.16025953052931188,C4-5,disease,disease
0.07092750567481486,-0.03081262313099682,0.009729039812106459,C1-6,aeronautics organization,aeronautics organization
0.007433366067509675,-0.08686051250798543,-0.033948618599674144,C4-8,disease,disease
0.1639416767630087,-0.039013343957218706,0.002150626219352996,C1-4,aeronautics organization,aeronautics organization
0.007606549218486968,-0.28633464610733705,0.38416063065577594,C7-1,finance,finance
0.2888473577236575,-0.04633041455260054,0.016314664932186657,C1-1,aeronautics organization,aeronautics organization
0.08057296659734997,-0.02307516393736732,0.007419227921070633,C1-8,aeronautics organization,aeronautics organization
0.008905194553162113,-0.28203689685840544,-0.21070388615658472,C4-6,disease,disease
0.006005458353826554,-0.13538476119620257,0.15963057213251364,C7-5,finance,finance
0.008902896797063728,-0.1689651634351207,-0.11630421134553398,C4-2,disease,disease
0.0050810728223279035,-0.09288743303498495,0.10169797590140506,C7-7,finance,finance
0.008905194553162113,-0.28203689685840544,-0.21070388615658472,Centeroid,NA(Centeroid),NA(Centeroid)
0.7261343603915413,0.04277812566921327,-0.010485363280111655,Centeroid,NA(Centeroid),NA(Centeroid)
0.007606549218486968,-0.28633464610733705,0.38416063065577594,Centeroid,NA(Centeroid),NA(Centeroid)

